id;nb_id;nb_name;nb_owner;nb_owner_private_key;nb_owner_public_key;nb_map_publish_method;nb_subscription_date;nb_subscription_last_date;nb_last_updated;nb_last_updated_by
1;framework Reunion RSS;extensible;bluetooth generation Wooden;Administrator Mission Tasty;Berkshire auxiliary project;Brand;generating online Monitored;card Bacon e-business;Handcrafted;scalable Handmade
2;Paraguay;connecting;Rubber;neutral Solutions;payment;Junction Squares Lake;Danish contextually-based Pre-emptive;deposit;HTTP compressing;Shoal Analyst Marketing
3;blockchains;Account;Handcrafted synthesize;Account;Assurance Rubber Account;Incredible cyan Hat;Shirt;hacking;Producer Soft;XSS Dynamic Wooden
4;motivating Multi-tiered programming;fresh-thinking deposit Mississippi;azure Movies;Money SDD;withdrawal Chicken;programming Bedfordshire parsing;magenta interface Tools;Supervisor;Metal;Officer Highway Human
5;system Texas intermediate;pink Loan wireless;Lane overriding primary;Frozen index Home;Secured Practical invoice;black Cotton Jewelery;Practical Division;deposit Interactions Causeway;Handcrafted;dedicated
6;Buckinghamshire Rustic;hierarchy Jamahiriya;granular Creative;1080p Dollar;Tasty Metal;alarm mint productize;real-time;cultivate;Licensed system;Chair
7;encoding Loan;Wooden;Spurs Alaska;user-facing;India Corporate;card content Programmable;Cambridgeshire Avon Russian;Assistant Licensed SDD;holistic online;District capacitor neural
8;web-readiness overriding open-source;Jersey drive Cambridgeshire;States;Customer;compressing granular 1080p;York Industrial alliance;PCI Algerian Ports;National experiences;Internal Tactics Sports;GB content-based bus
9;bypass;AI Synergized;24;Balanced Caledonia systems;Mill;payment Crossroad;Cambridgeshire Incredible Steel;Accounts ADP;Compatible;override Bacon invoice
10;Internal Republic Handcrafted;primary firewall;iterate;Unbranded;Naira Fantastic invoice;1080p Outdoors;open-source Sao XML;Mouse;Loan protocol;Guinea-Bissau modular holistic
