id;nb_idfk;nb_component_id;nb_component_type;nb_component_value;nb_default;nb_last_updated;nb_last_updated_by
1;Technician;Minnesota Montserrat;Maryland Hat systemic;Harbors Rhode Credit;portal methodologies technologies;leverage withdrawal Multi-channelled;e-services programming
2;Specialist;interactive Principal Consultant;extranet Intelligent;Borders;digital Refined Refined;Digitized Democratic;array dynamic
3;24/365 Planner;Avon transmitting;bifurcated Books;needs-based Ways;Ball;Denar Business-focused program;Specialist white Walks
4;tan;Park Alabama;interface;microchip Metal firewall;Money Lead;Car;programming rich
5;Track;policy;rich;Unbranded;technologies Supervisor;24/365 Azerbaijanian bandwidth;cross-platform Tools Bedfordshire
6;indexing strategic architectures;Central Som;Alaska transmitting Account;Solutions rich Shirt;Automated matrix;Hat Computers XML;Planner
7;Personal killer Open-architected;Applications;yellow Square Myanmar;Group e-enable;niches back Borders;Tasty Trace;Wisconsin SQL
8;Oval Assurance firewall;Soft Chief;quantify;open-source Human interface;Customer virtual;Specialist back Personal;District invoice Handcrafted
9;paradigms grey;innovative iterate;Director Rubber;Salad;tan Soft sky;Direct invoice;Account Account
10;Bedfordshire programming Bedfordshire;user-centric system Tools;withdrawal;web-enabled Savings Borders;Front-line non-volatile Group;multi-byte open-source Cloned;Cambridgeshire edge Home
