id;nb_idfk;nb_title;nb_title_location;nb_palette_idfk;nb_chart_idfk;nb_chart_type;nb_last_updated;nb_last_updated_by
1;pixel orchid Tennessee;Lek;Dinar Handmade Iowa;extensible Account SCSI;Refined Account quantify;throughput;Kansas;HDD Practical Sleek
2;circuit channels;Tasty Jewelery Dakota;real-time firmware;Baby;Metal Swedish;Fish Rubber;Adaptive;Station
3;deposit;Intelligent cyan Gibraltar;deposit;District repurpose;Metal Guarani Card;quantify structure policy;Card;cutting-edge cyan
4;CSS;National protocol circuit;standardization Markets;intelligence driver;Oklahoma Licensed;open-source B2B backing;Tasty parse Home;generation
5;Plastic Well;Directives Synchronised;violet Creek;El;envisioneer compress;Awesome clicks-and-mortar Rubber;seize;connect Usability Car
6;user-facing compressing;reboot deposit;Optimization Chicken Indiana;Cambridgeshire redundant;solution bandwidth Account;programming Concrete;sexy Kwanza;payment
7;Borders;interface Incredible;ADP;Designer virtual firewall;functionalities open-source Handmade;Steel Associate initiative;microchip;Data Australia transmit
8;transmitting;Practical Toys;revolutionize Via;Fantastic Illinois Zloty;compelling withdrawal;New mission-critical hacking;deposit ivory Security;Director Nebraska Account
9;backing magenta;Pants;Technician XML Chips;up;Sleek;bleeding-edge;Agent Analyst;Associate
10;initiatives;compress Gloves;Awesome Pizza Pennsylvania;Chips;Savings;Salad Minnesota Health;bypassing envisioneer;EXE
