id;nb_palette_id;nb_palette_title;nb_palette_type;nb_palette_colors;nb_last_updated;nb_last_updated_by
1;pixel systemic;SMTP copying;fuchsia Wyoming;Money Loop leverage;Cheese Plastic up;extend evolve
2;Direct Borders Personal;Customer grey;Cambridgeshire composite;card Reduced;Personal;Latvian input Isle
3;users;Prairie extensible Streamlined;Soap Horizontal open;Baby Research payment;Towels Table Field;Liaison
4;Bedfordshire Computers transmitter;cross-media Rustic;deposit Concrete;HTTP;Rue Integration card;Robust Chair content
5;purple copying;encompassing payment channels;Home synthesize Louisiana;RAM;Mouse Shoes Buckinghamshire;Uruguayo Vermont
6;Sports;content-based;Supervisor;Cotton Ethiopia Bermuda;Qatari Steel;Fish green
7;Savings Naira Directives;Estonia;SDD Argentine Plastic;PCI Savings parsing;Generic Communications algorithm;IB Metal
8;Customer-focused;Officer strategize dynamic;technologies;enterprise;invoice Fresh;repurpose whiteboard Product
9;Albania capacitor Cotton;Circles Armenia;Dram orchestrate;Soft navigate;Trail leverage withdrawal;generating navigate
10;Towels administration Frozen;User-centric;Identity Dinar;mobile Automotive;benchmark Optimization generate;program
