id;nb_component_idfk;nb_component_name;nb_last_updated;nb_last_updated_by
1;Credit connecting;firewall;override Sports harness;matrices Cheese user
2;override Fresh national;Investment;online Unbranded;Directives
3;deposit Interface;Leone;Soap repurpose;CSS Pants
4;Rustic Panama Brand;payment;back-end;Salad Concrete bandwidth
5;mindshare;open-source;salmon Bedfordshire architecture;open-source
6;Coordinator;Buckinghamshire Wooden;indexing conglomeration;Dakota copy
7;card calculate Designer;Generic Vista Brook;bandwidth Architect;Shoes core
8;viral Chips;bus Balanced Small;azure Savings visionary;Planner online
9;Sleek International;PNG;Configurable;enhance Fresh card
10;Forward architecture Checking;up Key;Bedfordshire Savings;Tuvalu SAS Africa
